timestamp,vehicle_session_id,pid,name,value,unit
2026-05-07T06:50:33.690867+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,84.27,km/h
2026-05-07T06:50:33.690867+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,1419.08,rpm
2026-05-07T06:50:33.690867+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,73.13,degC
2026-05-07T06:50:33.690867+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,68.81,%
2026-05-07T06:50:33.690867+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,72.95,%
2026-05-07T06:51:05.724356+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,25.76,km/h
2026-05-07T06:51:05.724356+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,1922.12,rpm
2026-05-07T06:51:05.724356+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,86.89,degC
2026-05-07T06:51:05.724356+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,14.71,%
2026-05-07T06:51:05.724356+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,57.26,%
2026-05-07T06:51:06.724792+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,117.28,km/h
2026-05-07T06:51:06.724792+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,1891.4,rpm
2026-05-07T06:51:06.724792+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,73.08,degC
2026-05-07T06:51:06.724792+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,14.23,%
2026-05-07T06:51:06.724792+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,47.71,%
2026-05-07T06:51:07.725379+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,98.7,km/h
2026-05-07T06:51:07.725379+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,3393.49,rpm
2026-05-07T06:51:07.725379+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,86.41,degC
2026-05-07T06:51:07.725379+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,10.48,%
2026-05-07T06:51:07.725379+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,39.27,%
2026-05-07T06:51:08.726086+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,85.36,km/h
2026-05-07T06:51:08.726086+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,809.0,rpm
2026-05-07T06:51:08.726086+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,104.21,degC
2026-05-07T06:51:08.726086+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,19.78,%
2026-05-07T06:51:08.726086+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,15.54,%
2026-05-07T06:51:09.726932+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,0.03,km/h
2026-05-07T06:51:09.726932+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,2838.38,rpm
2026-05-07T06:51:09.726932+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,70.11,degC
2026-05-07T06:51:09.726932+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,60.93,%
2026-05-07T06:51:09.726932+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,65.48,%
2026-05-07T06:51:10.727493+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,115.56,km/h
2026-05-07T06:51:10.727493+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,RPM,engine_rpm,3187.67,rpm
2026-05-07T06:51:10.727493+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,COOLANT_TEMP,coolant_temp,98.69,degC
2026-05-07T06:51:10.727493+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,THROTTLE_POS,throttle_pos,14.46,%
2026-05-07T06:51:10.727493+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,ENGINE_LOAD,engine_load,12.11,%
2026-05-07T06:51:11.727966+00:00,87eac78b-bf50-46fb-aa60-bbcc79ba82c8,SPEED,vehicle_speed,34.49,km/h
